,Time,Time Code,Country Name,Country Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],Population growth (annual %) [SP.POP.GROW],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]",Population density (people per sq. km of land area) [EN.POP.DNST],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Ter,Happiness Score,develppedEc
0,2015,YR2015,Afghanistan,AFG,4.802,63.298195121951196,8.60000038146973,599.135195822616,2.94323418503806,1.0,5.5,48.01676483,51.6749287749288,0.9934537820266329,9.233,3.575,n
1,2015,YR2015,Albania,ALB,1.714,78.20314634146341,17.1000003814697,4524.99099289005,-0.2912057868404361,6.6,4.3,17.93662454,105.135145985401,1.1676012865439098,2.116,4.959,n
2,2015,YR2015,Algeria,DZA,2.839,75.8552926829268,11.1999998092651,4759.5952415194,1.9199590241057198,0.6,3.1,35.56453306,16.7405040012764,6.274210027463219,4.75,5.605,n
3,2015,YR2015,Angola,AGO,5.766,61.1893414634146,6.199999809265139,3730.16906279479,3.4280206704652296,7.6,20.5,36.39542768,22.3464385978985,3.5159385725442798,0.243,4.033,n
4,2015,YR2015,Argentina,ARG,2.3080000000000003,76.2930243902439,7.199999809265139,10490.0195683235,1.00985496040526,7.6,14.2,13.44396548,15.8650650968871,0.8647228400148169,1.674,6.574,n
5,2015,YR2015,Armenia,ARM,1.6219999999999999,74.2061951219512,18.2999992370605,3935.2887724296897,0.36852821208883896,5.5,5.4,25.50768535,102.456972251493,4.2392258025425,0.115,4.35,n
6,2015,YR2015,Australia,AUS,1.8330000000000002,82.4512195121951,6.099999904632571,54941.91145752349,1.39110720542302,12.6,11.8,5.897734951,3.0966426721164195,1.97886106259926,3.114,7.284,n
7,2015,YR2015,Austria,AUT,1.47,81.8439024390244,5.699999809265139,47834.7873032621,1.06662280816241,8.5,16.4,17.01299421,104.61530724767599,0.6640189702454771,2.088,7.2,n
8,2015,YR2015,Azerbaijan,AZE,1.97,71.84519512195119,5.0,6117.03086236702,1.19120985807018,2.1,3.3,30.354012899999997,116.73107678163099,5.608679661640309,1.381,5.212000000000001,n
9,2015,YR2015,Bahrain,BHR,2.056,76.8651951219512,1.1000000238418601,22436.2075318381,2.6186651926361497,2.4,6.5,55.45435188,1779.3190661478602,4.59271386239118,4.871,5.96,n
10,2015,YR2015,Bangladesh,BGD,2.133,72.22160975609759,4.19999980926514,971.6419880304311,1.12014425853279,0.2,5.5,89.3929096,1238.38738572636,1.4602663856801399,5.921,4.694,n
11,2015,YR2015,Belarus,BLR,1.724,73.6243902439025,0.5,6398.68973515141,0.15930080192247198,17.1,22.8,20.48379252,46.767611256222,1.2818401017641998,2.125,5.813,n
12,2015,YR2015,Belgium,BEL,1.74,81.2878048780488,8.5,45068.2542754005,0.579446241677791,10.8,20.5,15.63662972,372.33143989432,0.9265774475483578,1.977,6.937,n
